City_part,Criminal_cases
Altstadt,7581.000
HafenCity,761
Neustadt,4893.000
St. Pauli,18289.000
St. Georg,19167.000
Hammerbrook,2591.000
Borgfelde,771
Hamm,3175.000
Horn,3633.000
Billstedt,7771.000
Billbrook,663
Rothenburgsort,1398.000
Veddel,709
Wilhelmsburg,6671.000
Kleiner Grasbrook,299
Steinwerder,178
Waltershof,132
Finkenwerder,644
Insel Neuwerk,0
Altona-Altstadt,4775.000
Sternschanze,2634.000
Altona-Nord,369.000
Ottensen,2798.000
Bahrenfeld,2901.000
Groá Flottbek,604
Othmarschen,1261.000
Lurup,2339.000
Osdorf,1941.000
Nienstedten,397
Blankenese,969
Iserbrook,602
Slldorf,494
Rissen,912
Eimsbttel,4522.000
Rotherbaum,1772.000
Harvestehude,1494.000
Hoheluft-West,866
Lokstedt,1583.000
Niendorf,2819.000
Schnelsen,1848.000
Eidelstedt,2653.000
Stellingen,2303.000
Hoheluft-Ost,671
Eppendorf,2103.000
Groá Borstel,591
Alsterdorf,1301.000
Winterhude,4177.000
Uhlenhorst,1386.000
Hohenfelde,1347.000
Barmbek-Sd,3324.000
Dulsberg,1602.000
Barmbek-Nord,4145.000
Ohlsdorf,1487.000
Fuhlsbttel,4929.000
Langenhorn,4015.000
Eilbek,1858.000
Wandsbek,4547.000
Marienthal,1447.000
Jenfeld,2431.000
Tonndorf,1274.000
Farmsen-Berne,2905.000
Bramfeld,3906.000
Steilshoop,1842.000
Wellingsbttel,592
Sasel,780
Poppenbttel,1722.000
Hummelsbttel,982
Lemsahl-Mellingstedt,239
Duvenstedt,195
Wohldorf-Ohlstedt,232
Bergstedt,288
Volksdorf,1249.000
Rahlstedt,5976.000
Lohbrgge,2989.000
Bergedorf,4723.000
Curslack,131
Altengamme,44
Neuengamme,70
Kirchwerder,294
Ochsenwerder,96
Reitbrook,18
Allerm”he,381
Billwerder,585
Moorfleet,407
Tatenberg,111
Spadenland,21
Neuallerm”he,1549.000
Harburg,6249.000
Neuland,291
Gut Moor,17
Wilstorf,1039.000
R”nneburg,95
Langenbek,149
Sinstorf,164
Marmstorf,375
Eiáendorf,1069.000
Heimfeld,1593.000
Moorburg,47
Altenwerder,84
Hausbruch,907
Neugraben-Fischbek,2011.000
Francop,31
Neuenfelde,186
Cranz,38
